ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERDATE,PRODUCTLINE,CITY,COUNTRY,DEALSIZE,TOTAL_SALES
10107,30,95.7,2003-02-24,Motorcycles,NYC,USA,Small,2871.0
10121,34,81.35,2003-05-07,Motorcycles,Reims,France,Small,2765.8999999999996
10134,41,94.74,2003-07-01,Motorcycles,Paris,France,Medium,3884.3399999999997
10145,45,83.26,2003-08-25,Motorcycles,Pasadena,USA,Medium,3746.7000000000003
10159,49,100.0,2003-10-10,Motorcycles,San Francisco,USA,Medium,4900.0
10168,36,96.66,2003-10-28,Motorcycles,Burlingame,USA,Medium,3479.7599999999998
10180,29,86.13,2003-11-11,Motorcycles,Lille,France,Small,2497.77
10188,48,100.0,2003-11-18,Motorcycles,Bergen,Norway,Medium,4800.0
10201,22,98.57,2003-12-01,Motorcycles,San Francisco,USA,Small,2168.54
10211,41,100.0,2004-01-15,Motorcycles,Paris,France,Medium,4100.0
10223,37,100.0,2004-02-20,Motorcycles,Melbourne,Australia,Medium,3700.0
10237,23,100.0,2004-04-05,Motorcycles,NYC,USA,Small,2300.0
10251,28,100.0,2004-05-18,Motorcycles,Newark,USA,Medium,2800.0
10263,34,100.0,2004-06-28,Motorcycles,Bridgewater,USA,Medium,3400.0
10275,45,92.83,2004-07-23,Motorcycles,Nantes,France,Medium,4177.35
10285,36,100.0,2004-08-27,Motorcycles,Cambridge,USA,Medium,3600.0
10299,23,100.0,2004-09-30,Motorcycles,Helsinki,Finland,Small,2300.0
10309,41,100.0,2004-10-15,Motorcycles,Stavern,Norway,Medium,4100.0
10318,46,94.74,2004-11-02,Motorcycles,Allentown,USA,Medium,4358.04
10329,42,100.0,2004-11-15,Motorcycles,NYC,USA,Medium,4200.0
10341,41,100.0,2004-11-24,Motorcycles,Salzburg,Austria,Large,4100.0
10361,20,72.55,2004-12-17,Motorcycles,Chatswood,Australia,Small,1451.0
10375,21,34.91,2005-02-03,Motorcycles,Nantes,France,Small,733.1099999999999
10388,42,76.36,2005-03-03,Motorcycles,New Bedford,USA,Medium,3207.12
10403,24,100.0,2005-04-08,Motorcycles,Liverpool,UK,Small,2400.0
10417,66,100.0,2005-05-13,Motorcycles,Madrid,Spain,Large,6600.0
10103,26,100.0,2003-01-29,Classic Cars,Stavern,Norway,Medium,2600.0
10112,29,100.0,2003-03-24,Classic Cars,Lule,Sweden,Large,2900.0
10126,38,100.0,2003-05-28,Classic Cars,Madrid,Spain,Large,3800.0
10140,37,100.0,2003-07-24,Classic Cars,Burlingame,USA,Large,3700.0
10150,45,100.0,2003-09-19,Classic Cars,Singapore,Singapore,Large,4500.0
10163,21,100.0,2003-10-20,Classic Cars,NYC,USA,Medium,2100.0
10174,34,100.0,2003-11-06,Classic Cars,South Brisbane,Australia,Large,3400.0
10183,23,100.0,2003-11-13,Classic Cars,Philadelphia,USA,Medium,2300.0
10194,42,100.0,2003-11-25,Classic Cars,Lyon,France,Large,4200.0
10206,47,100.0,2003-12-05,Classic Cars,Vancouver,Canada,Large,4700.0
10215,35,100.0,2004-01-29,Classic Cars,Burbank,USA,Medium,3500.0
10228,29,100.0,2004-03-10,Classic Cars,Cambridge,USA,Medium,2900.0
10245,34,100.0,2004-05-04,Classic Cars,New Haven,USA,Medium,3400.0
10258,32,100.0,2004-06-15,Classic Cars,Minato-ku,Japan,Large,3200.0
10270,21,100.0,2004-07-19,Classic Cars,Chatswood,Australia,Medium,2100.0
10280,34,100.0,2004-08-17,Classic Cars,Torino,Italy,Large,3400.0
10291,37,100.0,2004-09-08,Classic Cars,Boras,Sweden,Large,3700.0
10304,47,100.0,2004-10-11,Classic Cars,Versailles,France,Large,4700.0
10312,48,100.0,2004-10-21,Classic Cars,San Rafael,USA,Large,4800.0
10322,40,100.0,2004-11-04,Classic Cars,Nashua,USA,Medium,4000.0
10333,26,100.0,2004-11-18,Classic Cars,San Francisco,USA,Medium,2600.0
10347,30,100.0,2004-11-29,Classic Cars,Melbourne,Australia,Medium,3000.0
10357,32,100.0,2004-12-10,Classic Cars,San Rafael,USA,Medium,3200.0
10369,41,100.0,2005-01-20,Classic Cars,Brickhaven,USA,Medium,4100.0
10381,36,100.0,2005-02-17,Classic Cars,San Francisco,USA,Large,3600.0
10391,24,100.0,2005-03-09,Classic Cars,North Sydney,Australia,Small,2400.0
10411,23,100.0,2005-05-01,Classic Cars,Montreal,Canada,Medium,2300.0
10424,50,100.0,2005-05-31,Classic Cars,Madrid,Spain,Large,5000.0
10107,39,99.91,2003-02-24,Motorcycles,NYC,USA,Medium,3896.49
10120,29,96.34,2003-04-29,Motorcycles,Melbourne,Australia,Small,2793.86
10134,27,100.0,2003-07-01,Motorcycles,Paris,France,Medium,2700.0
10145,37,100.0,2003-08-25,Motorcycles,Pasadena,USA,Medium,3700.0
10159,37,100.0,2003-10-10,Motorcycles,San Francisco,USA,Medium,3700.0
10168,27,100.0,2003-10-28,Motorcycles,Burlingame,USA,Medium,2700.0
10180,42,100.0,2003-11-11,Motorcycles,Lille,France,Medium,4200.0
10188,38,96.34,2003-11-18,Motorcycles,Bergen,Norway,Medium,3660.92
10201,24,100.0,2003-12-01,Motorcycles,San Francisco,USA,Medium,2400.0
10210,23,100.0,2004-01-12,Motorcycles,Osaka,Japan,Medium,2300.0
10223,47,100.0,2004-02-20,Motorcycles,Melbourne,Australia,Medium,4700.0
10236,22,100.0,2004-04-03,Motorcycles,Philadelphia,USA,Small,2200.0
10251,44,100.0,2004-05-18,Motorcycles,Newark,USA,Medium,4400.0
10263,40,100.0,2004-06-28,Motorcycles,Bridgewater,USA,Medium,4000.0
10275,22,100.0,2004-07-23,Motorcycles,Nantes,France,Small,2200.0
10285,47,100.0,2004-08-27,Motorcycles,Cambridge,USA,Medium,4700.0
10298,39,96.34,2004-09-27,Motorcycles,Nantes,France,Medium,3757.26
10308,34,100.0,2004-10-15,Motorcycles,White Plains,USA,Medium,3400.0
